Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.2992459983203E-05,0.216520528412682,0.0011547324928104,0,0,0,4.97825119597729,0.0254562268649868,-2.61811741778366E-08,-1.52280833060817E-10,0.0769425840258946,1.42371428389771E-09,0.0715575020127174,0,0,0,0,0,0,package://Delibot/meshes/base_link.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://Delibot/meshes/base_link.STL,,body-1;caster-3/Part3caster-2;caster-2/Part3caster-2;caster-1/Part3caster-2;caster-4/Part3caster-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,-6.0978E-15,-1.0034E-14,0.0275,0,0,0,0.69027,0.0012793,9.8258E-37,4.6267E-20,0.0012793,-2.2668E-36,0.0022925,0,0,0,0,0,0,package://Delibot/meshes/wheel_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Delibot/meshes/wheel_left_link.STL,,6 in wheel-1,Origin_wheel_left_joint,Axis_wheel_left_joint,wheel_left_joint,continuous,6.6852E-05,-0.15365,0.080574,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_right_link,-1.5269E-15,4.2952E-14,-0.0275,0,0,0,0.69027,0.0012793,2.3642E-37,4.6267E-20,0.0012793,-2.2668E-36,0.0022925,0,0,0,0,0,0,package://Delibot/meshes/wheel_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Delibot/meshes/wheel_right_link.STL,,6 in wheel-2,Origin_wheel_right_joint,Axis_wheel_right_joint,wheel_right_joint,continuous,6.6852E-05,0.15135,0.080574,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
caster1_link,-0.010009,0.016251,0.01778,0,0,0,0.038755,2.3231E-05,9.1783E-06,-9.9304E-19,1.6245E-05,1.226E-18,2.7613E-05,0,0,0,0,0,0,package://Delibot/meshes/caster1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Delibot/meshes/caster1_link.STL,,caster-2/Part2caster-1,Origin_caster1_joint,,caster1_joint,fixed,-0.21927,-0.17229,0.051401,1.5708,0,-0.072873,base_link,0,0,0,,,,,,,,,,,,
roda1_link,0,0,0.017714,0,0,0,0.13541,7.4142E-05,-1.125E-22,8.2586E-20,7.4142E-05,-3.1578E-20,0.00013101,0,0,0,0,0,0,package://Delibot/meshes/roda1_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Delibot/meshes/roda1_link.STL,,caster-2/caster-1,Origin_roda1_joint,,roda1_joint,continuous,0,0,0,0,0,0.057049,caster1_link,0,0,0,,,,,,,,,,,,
caster2_link,-0.010009,0.016251,0.01778,0,0,0,0.038755,2.3231E-05,9.1783E-06,-1.078E-18,1.6245E-05,1.3253E-18,2.7613E-05,0,0,0,0,0,0,package://Delibot/meshes/caster2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Delibot/meshes/caster2_link.STL,,caster-1/Part2caster-1,Origin_caster2_joint,,caster2_joint,fixed,-0.21927,0.20151,0.051401,1.5708,0,-0.072873,base_link,0,0,0,,,,,,,,,,,,
roda2_link,-5.5511E-17,0,0.017714,0,0,0,0.13541,7.4142E-05,2.3823E-22,-7.4539E-20,7.4142E-05,-2.1123E-20,0.00013101,0,0,0,0,0,0,package://Delibot/meshes/roda2_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Delibot/meshes/roda2_link.STL,,caster-1/caster-1,Origin_roda2_joint,,roda2_joint,continuous,0,0,0,0,0,0.057049,caster2_link,0,0,0,,,,,,,,,,,,
caster3_link,-0.010009,0.016251,0.01778,0,0,0,0.038755,2.3231E-05,9.1783E-06,-9.9135E-19,1.6245E-05,1.2227E-18,2.7613E-05,0,0,0,0,0,0,package://Delibot/meshes/caster3_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Delibot/meshes/caster3_link.STL,,caster-3/Part2caster-1,Origin_caster3_joint,,caster3_joint,fixed,0.27583,-0.17229,0.051401,1.5708,0,-0.072873,base_link,0,0,0,,,,,,,,,,,,
roda3_link,0,0,0.017714,0,0,0,0.13541,7.4142E-05,1.1316E-21,8.8515E-20,7.4142E-05,-4.3278E-20,0.00013101,0,0,0,0,0,0,package://Delibot/meshes/roda3_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Delibot/meshes/roda3_link.STL,,caster-3/caster-1,Origin_roda3_joint,,roda3_joint,continuous,0,0,0,0,0,0.057049,caster3_link,0,0,0,,,,,,,,,,,,
caster4_link,-0.010009,0.016251,0.01778,0,0,0,0.038755,2.3231E-05,9.1783E-06,-1.0767E-18,1.6245E-05,1.3208E-18,2.7613E-05,0,0,0,0,0,0,package://Delibot/meshes/caster4_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Delibot/meshes/caster4_link.STL,,caster-4/Part2caster-1,Origin_caster4_joint,,caster4_joint,fixed,0.27583,0.20151,0.051401,1.5708,0,-0.072873,base_link,0,0,0,,,,,,,,,,,,
